Comment,Designator,Footprint,LCSC
"Arduino_Nano_v3.x","A1","Module:Arduino_Nano",""
"100n","C1,C30","Capacitor_SMD:C_0805_2012Metric","C28233"
"220u","C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C31","Capacitor_SMD:CP_Elec_10x10","C125977"
"150n","C2,C5,C8","Capacitor_SMD:C_0805_2012Metric","C1710"
"1u","C3,C6,C9","Capacitor_SMD:C_0805_2012Metric","C28323"
"10u","C32,C33","Capacitor_SMD:C_1206_3216Metric","C13585"
"470p","C4,C7,C10","Capacitor_SMD:C_0603_1608Metric","C1620"
"GREEN","D1,D4","LED_SMD:LED_0805_2012Metric","C2297"
"RED","D2","LED_SMD:LED_0805_2012Metric","C84256"
"YELLOW","D3","LED_SMD:LED_0805_2012Metric","C2296"
"BLUE","D5","LED_SMD:LED_0603_1608Metric","C72041"
"SS34","D6,D7,D8,D9,D10,D11,D12,D13,D14,D15","Diode_SMD:D_SMA","C8678"
"10A","F1","Fuse:Fuse_Littelfuse-LVR100",""
"24V","J1","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal",""
"TEMP_SENSOR","J10","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",""
"GPIO","J12","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-12-5.0-H_1x12_P5.00mm_Horizontal",""
"TTL INVERTERS","J13","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-6-5.0-H_1x06_P5.00mm_Horizontal",""
"PHOTOSENSOR","J14","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-6-5.0-H_1x06_P5.00mm_Horizontal",""
"VALVES","J15","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-12-5.0-H_1x12_P5.00mm_Horizontal",""
"RAIL1","J2","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-6-5.0-H_1x06_P5.00mm_Horizontal",""
"RAIL2","J3","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-7-5.0-H_1x07_P5.00mm_Horizontal",""
"RAIL3","J4","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-7-5.0-H_1x07_P5.00mm_Horizontal",""
"RAIL4","J5","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-7-5.0-H_1x07_P5.00mm_Horizontal",""
"RAIL5","J6","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-7-5.0-H_1x07_P5.00mm_Horizontal",""
"RAIL6","J7","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-7-5.0-H_1x07_P5.00mm_Horizontal",""
"PHOTODIODE_PWR","J8","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",""
"33uH 5A","L1,L3,L5,L7,L9,L11,L13","maxlibrary:PowerInductor_1004S","C408490"
"3.3uH 5A","L2,L4,L6,L8,L10,L12","Inductor_SMD:L_Sunlord_MWSA0518_5.4x5.2mm","C436534"
"VBE1410","Q1","Package_TO_SOT_SMD:TO-252-3_TabPin2","C416255"
"4.7k","R1","Resistor_SMD:R_0805_2012Metric","C17673"
"120k","R10,R12,R14","Resistor_SMD:R_0805_2012Metric","C17436"
"200k","R11,R13,R15","Resistor_SMD:R_0805_2012Metric","C17539"
"10K","R17","Resistor_SMD:R_0805_2012Metric","C17414"
"30k","R18,R19","Resistor_SMD:R_0805_2012Metric","C17621"
"220R","R2,R3,R4,R5,R6,R7,R16","Resistor_SMD:R_0805_2012Metric","C17557"
"150k","R20","Resistor_SMD:R_0805_2012Metric","C17470"
"8.87k 1%","R21,R24,R25,R28,R31,R34,R37,R40,R41,R44","Resistor_SMD:R_0805_2012Metric","C37551"
"47k 1%","R22,R26,R29,R32,R35,R38,R42","Resistor_SMD:R_0805_2012Metric","C17713"
"1k 1%","R23,R27,R43","Resistor_SMD:R_0805_2012Metric","C17513"
"2k","R30,R33,R36,R39","Resistor_SMD:R_0805_2012Metric","C17604"
"47k","R45","Resistor_SMD:R_0805_2012Metric","C17713"
"1K","R8,R9","Resistor_SMD:R_0805_2012Metric","C17513"
"10M","RV1","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","C118954"
"47k 10-turn","RV2,RV3,RV4,RV5","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","C118911"
"DRV104","U1,U2,U3","Package_SO:HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3.1mm_ThermalVias","C1556572"
"AMS1117-5.0","U13","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6187"
"74HC14","U4","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C5605"
"MCP6002-xSN","U5","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C7377"
"LM2596S-ADJ","U6,U7,U8,U9,U10,U11,U12","Package_TO_SOT_SMD:TO-263-5_TabPin3","C29781"